"ASXL1","HGNC:18318","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18318","2013-03-14T19:15:48+00:00"
"ASXL2","HGNC:23805","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:23805","2018-06-28T13:53:56+00:00"
"ASXL3","HGNC:29357","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29357","2017-11-22T17:58:47+00:00"
"ATCAY","HGNC:779","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:779","2016-08-22T17:46:14+00:00"
"ATF6","HGNC:791","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:791","2026-01-23T11:45:22-05:00"
"ATM","HGNC:795","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:795","2020-04-08T17:01:25+00:00"
"ATP2A1","HGNC:811","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:811","2016-08-22T17:46:15+00:00"
"ATP2A2","HGNC:812","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:812","2026-06-09T12:13:50-04:00"
"ATP2C2","HGNC:29103","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:29103","2018-09-17T17:53:59+00:00"
"ATP6AP2","HGNC:18305","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18305","2012-10-31T18:37:06+00:00"
"ATP6V1E1","HGNC:857","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:857","2012-04-26T22:40:17+00:00"
"ATP6V0A2","HGNC:18481","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18481","2026-04-24T11:26:28-04:00"
"ATP6V0A4","HGNC:866","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:866","2016-08-22T17:46:16+00:00"
"ATP7A","HGNC:869","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:869","2021-03-24T16:30:24+00:00"
"ATP7B","HGNC:870","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:870","2026-02-27T11:24:20-05:00"
"ATP8A2","HGNC:13533","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13533","2023-03-28T16:15:31+00:00"
"ATP10A","HGNC:13542","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13542","2012-04-25T01:41:07+00:00"
"ATP13A2","HGNC:30213","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:30213","2026-04-17T15:17:58-04:00"
"ATPAF2","HGNC:18802","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18802","2016-08-22T17:46:17+00:00"
"ATR","HGNC:882","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:882","2020-06-05T20:24:49+00:00"
"ATRX","HGNC:886","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:886","2012-07-31T20:43:57+00:00"
"AUTS2","HGNC:14262","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:14262","2020-06-24T16:20:48+00:00"
